,terminal_group_1,terminal_group_2,terminal_group_3,frac-1,frac-2,backbone,COF,COF-std,intercept,intercept-std
1002,cyano,cyano,isopropyl,0.5,0.5,alkylsilane,0.1031550178,0.0062979980003099,0.47680523426,0.1075357937156945
1320,cyclopropyl,ethylene,cyano,0.5,0.5,alkylsilane,0.1086328885666666,0.0141606348411476,0.4498356472333333,0.2820048793492169
1624,difluoromethyl,isopropyl,cyano,0.5,0.5,alkylsilane,0.1100333636833333,0.009843266013664,0.5292158918500001,0.4261296404010042
1662,difluoromethyl,methyl,cyano,0.5,0.5,alkylsilane,0.1127961747333333,0.003633899325507,0.4639717322500001,0.1585420965464146
1859,ethylene,isopropyl,cyano,0.5,0.5,alkylsilane,0.1109176443833333,0.0107593516458665,0.2160854287333333,0.3767637317432877
1954,ethylene,perfluoromethyl,cyano,0.5,0.5,alkylsilane,0.1093037766166666,0.0119157256341076,0.32965236565,0.3123517180219614
2475,isopropyl,methoxy,cyano,0.5,0.5,alkylsilane,0.1113375150666666,0.0143870068905524,0.5312925598,0.5018801118420588
2494,isopropyl,methyl,cyano,0.5,0.5,alkylsilane,0.11209627915,0.018209306914153,0.4040698444833333,0.3252279049850479
2551,isopropyl,perfluoromethyl,cyano,0.5,0.5,alkylsilane,0.1029815603666666,0.0180570833488,0.2978362717833333,0.1959858434097459
5101,difluoromethyl,carboxyl,isopropyl,0.25,0.75,alkylsilane,0.1116514821666666,0.0020569467955113,0.1943681397666666,0.8318767514841483
5208,difluoromethyl,isopropyl,carboxyl,0.25,0.75,alkylsilane,0.1104745104666666,0.0077816309101564,0.5375470229,0.7366230786626888
5246,difluoromethyl,methyl,cyano,0.25,0.75,alkylsilane,0.1126329993999999,0.0041435878879547,0.4967432847,0.0875809314578657
5548,ethylene,isopropyl,cyano,0.25,0.75,alkylsilane,0.1045885232,0.0183970840368816,0.5122299132666667,0.1373505258365475
6496,isopropyl,cyclopropyl,cyano,0.25,0.75,alkylsilane,0.0897547562333333,0.0118968689592942,0.4353652344333333,0.1521694682096714
6665,isopropyl,perfluoromethyl,cyano,0.25,0.75,alkylsilane,0.1077295480333333,0.0073342328967945,0.3867825665,0.1579532394313018
6819,methoxy,cyano,ethylene,0.25,0.75,alkylsilane,0.1086334381333333,0.0053142467653222,0.4345530060666667,0.4340087877714579
7272,methyl,isopropyl,cyano,0.25,0.75,alkylsilane,0.0941519278333333,0.0147511358282211,0.4180868342666668,0.20167984831838
8200,perfluoromethyl,cyclopropyl,cyano,0.25,0.75,alkylsilane,0.1138129731,0.0070316715902397,0.3103846200666667,0.1798621634100902
8238,perfluoromethyl,ethylene,cyano,0.25,0.75,alkylsilane,0.1067277926333333,0.0001742842791373,0.5315349175999999,0.1965007244198336
8295,perfluoromethyl,isopropyl,cyano,0.25,0.75,alkylsilane,0.0946579744666666,0.0114253035523352,0.5366125743666667,0.2037352634433797
8979,phenyl,isopropyl,cyano,0.25,0.75,alkylsilane,0.1097525843666666,0.0155944111304816,0.4825484864666666,0.3195650245508372
9549,toluene,ethylene,cyano,0.25,0.75,alkylsilane,0.1119444909333333,0.0134445572139608,0.4906527237000001,0.6588689433311626
