,model_name,n_trains,5050_COF,5050_F0,2575_COF,2575_F0,everything_COF,everything_F0
0,original,100,0.472,0.657,0.429,0.643,0.443,0.648
1,5050_100,100,0.543 ± 0.063,0.722 ± 0.058,0.475 ± 0.041,0.692 ± 0.031,0.496 ± 0.046,0.701 ± 0.032
2,5050_200,200,0.647 ± 0.012,0.792 ± 0.033,0.557 ± 0.008,0.742 ± 0.024,0.584 ± 0.008,0.757 ± 0.026
3,5050_300,300,0.687 ± 0.017,0.826 ± 0.011,0.584 ± 0.011,0.774 ± 0.007,0.615 ± 0.013,0.79 ± 0.007
4,5050_500,500,0.734 ± 0.004,0.859 ± 0.008,0.618 ± 0.005,0.819 ± 0.002,0.653 ± 0.004,0.831 ± 0.004
5,5050_1000,1000,0.799 ± 0.007,0.885 ± 0.01,0.647 ± 0.001,0.848 ± 0.007,0.693 ± 0.002,0.859 ± 0.005
6,5050_1500,1500,0.835 ± 0.011,0.907 ± 0.007,0.652 ± 0.004,0.867 ± 0.006,0.706 ± 0.005,0.879 ± 0.003
7,5050_2000,2000,0.88 ± 0.004,0.92 ± 0.002,0.656 ± 0.007,0.875 ± 0.004,0.723 ± 0.006,0.888 ± 0.003
8,5050_2500,2500,0.915 ± 0.003,0.927 ± 0.001,0.664 ± 0.003,0.881 ± 0.001,0.739 ± 0.002,0.895 ± 0.001
9,5050_all,all,0.926 ± 0.0,0.928 ± 0.0,0.668 ± 0.0,0.882 ± 0.0,0.745 ± 0.0,0.896 ± 0.0
10,everything_100,100,0.567 ± 0.019,0.701 ± 0.027,0.511 ± 0.019,0.684 ± 0.023,0.528 ± 0.018,0.69 ± 0.019
11,everything_200,200,0.614 ± 0.032,0.792 ± 0.008,0.555 ± 0.02,0.763 ± 0.02,0.573 ± 0.021,0.772 ± 0.015
12,everything_300,300,0.652 ± 0.021,0.818 ± 0.017,0.595 ± 0.017,0.817 ± 0.014,0.612 ± 0.015,0.817 ± 0.014
13,everything_500,500,0.693 ± 0.02,0.849 ± 0.008,0.631 ± 0.011,0.855 ± 0.011,0.65 ± 0.01,0.853 ± 0.008
14,everything_1000,1000,0.738 ± 0.007,0.883 ± 0.007,0.684 ± 0.007,0.89 ± 0.006,0.701 ± 0.005,0.888 ± 0.005
15,everything_1500,1500,0.768 ± 0.006,0.897 ± 0.007,0.715 ± 0.005,0.904 ± 0.003,0.731 ± 0.004,0.902 ± 0.004
16,everything_2000,2000,0.784 ± 0.006,0.908 ± 0.005,0.736 ± 0.003,0.911 ± 0.006,0.751 ± 0.003,0.91 ± 0.006
17,everything_2500,2500,0.807 ± 0.006,0.915 ± 0.009,0.756 ± 0.004,0.918 ± 0.006,0.771 ± 0.003,0.917 ± 0.007
18,everything_4000,4000,0.851 ± 0.006,0.928 ± 0.006,0.799 ± 0.004,0.928 ± 0.004,0.815 ± 0.003,0.928 ± 0.004
19,everything_6000,6000,0.894 ± 0.003,0.937 ± 0.003,0.853 ± 0.005,0.936 ± 0.001,0.865 ± 0.004,0.936 ± 0.001
20,everything_all,all,0.925 ± 0.0,0.943 ± 0.0,0.898 ± 0.0,0.941 ± 0.0,0.906 ± 0.0,0.942 ± 0.0
